frazione,tipo,testo,fonte,data,note
Umido/Organico,escluso,Legno verniciato,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
Umido/Organico,escluso,Lettiere per animali,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
"Umido/Organico",escluso,"Liquidi, olio vegetale",https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
Umido/Organico,escluso,Mozziconi e cenere di sigaretta,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
Umido/Organico,escluso,Pannolini e assorbenti,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
Umido/Organico,escluso,Tessuti naturali e sintetici,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,immagine informativa della pagina
Umido/Organico,nota,NON METTERE NESSUN OGGETTO IN PLASTICA,https://www.asianapoli.it/servizi/materiali-da-differenziare/umido-organico/,2026-09-12,avviso generale in coda all'elenco
Plastica e Metalli,assenza_verificata,,https://www.asianapoli.it/servizi/materiali-da-differenziare/plastica-e-metalli/,2026-09-12,l'immagine informativa non contiene una sezione di esclusioni
Carta e Cartone,assenza_verificata,,https://www.asianapoli.it/servizi/materiali-da-differenziare/carta-e-cartone/,2026-09-12,l'immagine informativa non contiene una sezione di esclusioni
