pagina,voce_originale,destinazioni_alternative
18,Farmaci scaduti,centro_di_raccolta|farmaci
18,Fazzoletti di carta usati,organico
18,Feltrini,rifiuto_non_recuperabile
18,Ferri da stiro,centro_di_raccolta
18,Fiale (non adibite a contenere i farmaci),vetro_e_imballaggi_metallo
18,Fiammiferi e cerini,organico
18,Filo da cucire,rifiuto_non_recuperabile
18,Filtri del the,organico
18,Filtri per acqua potabile,centro_di_raccolta
18,Finestre in legno o alluminio,rifiuti_ingombranti|centro_di_raccolta
18,Fiori,organico
18,Fiori finti (plastica o tessuto),rifiuto_non_recuperabile
18,Foglie e fiori secchi,organico
18,Foglie secche (grandi quantitativi),centro_di_raccolta
18,Fondi di caffè,organico
18,Forni elettrici,rifiuti_ingombranti|centro_di_raccolta
18,Fotografie,rifiuto_non_recuperabile
18,Frigoriferi,rifiuti_ingombranti|centro_di_raccolta
18,Garze,rifiuto_non_recuperabile
18,Generatori elettrici,centro_di_raccolta
18,Giocattoli,rifiuto_non_recuperabile
18,Giocattoli elettrici ed elettronici,centro_di_raccolta
18,Giornali e riviste,carta_e_cartone
18,Gomma da cancellare,rifiuto_non_recuperabile
18,Gommapiuma,rifiuto_non_recuperabile
18,Graffatrice,centro_di_raccolta
18,Granaglie,organico
18,Grattugia (in metallo o plastica),rifiuto_non_recuperabile
19,Grucce appendiabiti in metallo,vetro_e_imballaggi_metallo
19,Grucce appendiabiti in plastica,imballaggi_plastica
19,Guanti in gomma,rifiuto_non_recuperabile
19,Guarnizioni auto,rifiuto_non_recuperabile
19,"Gusci di alimenti (frutta secca, uovo, molluschi…)",organico
19,Imballaggi di carta o cartone,carta_e_cartone
19,"Imballaggi fabbricati con più materiali (es. buste del cibo per gatti, buste sottovuoto del caffè, ecc.)",rifiuto_non_recuperabile
19,Imballaggi millebolle (pluriball),imballaggi_plastica
19,Imballaggi poliaccoppiati,rifiuto_non_recuperabile
19,Incenso,organico
19,Inerti in piccole quantità provenienti da lavori domestici,centro_di_raccolta
19,"Infissi in alluminio, legno o plastica",centro_di_raccolta
19,Insetti morti,organico
19,Involucro cioccolatini (alluminio),vetro_e_imballaggi_metallo
19,Involucro cioccolatini (plastica argentata),imballaggi_plastica
19,Involucri uova di Pasqua,imballaggi_plastica
19,Lacci di gomma,rifiuto_non_recuperabile
19,Lamette,rifiuto_non_recuperabile
19,Lampadari,centro_di_raccolta
19,Lampadine a basso consumo,centro_di_raccolta
19,Lampadine a incandescenza,centro_di_raccolta
19,Lastre di vetro,centro_di_raccolta
19,Lastre radiografiche,rifiuto_non_recuperabile
19,Laterizi (in piccole quantità prevenienti da lavori domestici),centro_di_raccolta
19,Latte e lattine per alimenti,vetro_e_imballaggi_metallo
19,Lavastoviglie,rifiuti_ingombranti|centro_di_raccolta
19,Lavatrici,rifiuti_ingombranti|centro_di_raccolta
19,Legno da potatura,centro_di_raccolta
19,Legno verniciato,centro_di_raccolta
19,Lenti a contatto,rifiuto_non_recuperabile
19,Lenti di occhiali,rifiuto_non_recuperabile
19,Lettiere chimiche per animali domestici,rifiuto_non_recuperabile
19,Lettiere naturali per animali (sabbia/segatura),organico
19,"Lettori CD, DVD, Blue-ray e mp3",centro_di_raccolta
19,Libri (senza copertina plastificata),carta_e_cartone
19,Lische di pesce,organico
19,Mascherine,rifiuto_non_recuperabile
19,Materassi,rifiuti_ingombranti|centro_di_raccolta
19,Matite colorate,rifiuto_non_recuperabile
19,Mattoni e mattonelle,centro_di_raccolta
19,Medicinali scaduti,centro_di_raccolta|farmaci
19,"Mensole in legno, vetro o plastica",centro_di_raccolta
19,Monitor,centro_di_raccolta
19,Mozziconi di sigarette e sigari,rifiuto_non_recuperabile
19,Nastro abrasivo,rifiuto_non_recuperabile
19,Nastro adesivo,rifiuto_non_recuperabile
19,Nastro da pacco,rifiuto_non_recuperabile
19,Neon,centro_di_raccolta
19,Noccioli,organico
19,Occhiali,rifiuto_non_recuperabile
19,Oggetti in gomma,rifiuto_non_recuperabile
19,Oggetti in peluche o ovatta,rifiuto_non_recuperabile
20,Oli minerali esausti (olio motore),centro_di_raccolta
20,Oli vegetali esausti* (olio da cucina),olio_esausto|centro_di_raccolta
20,Ombrelli,rifiuto_non_recuperabile
20,Ombrelloni,centro_di_raccolta
20,Ossi,organico
20,Pallets,centro_di_raccolta
20,Pannolini e pannoloni,rifiuto_non_recuperabile
20,Parabrezza e paraurti (solo da utenze domestiche),centro_di_raccolta
20,Pastelli a cera,rifiuto_non_recuperabile
20,PC,centro_di_raccolta
20,Pedane in legno o plastica,centro_di_raccolta
20,Pelle conciata,rifiuto_non_recuperabile
20,Pellets,centro_di_raccolta
20,Pellicola millebolle (pluriball),imballaggi_plastica
20,Pellicole di cellophane,imballaggi_plastica
20,Pellicole per alimenti in alluminio,vetro_e_imballaggi_metallo
20,Pellicole per alimenti in plastica,imballaggi_plastica
20,Peluches,rifiuto_non_recuperabile
20,Penne a sfera,rifiuto_non_recuperabile
20,Pennarelli,rifiuto_non_recuperabile
20,Pennelli da pittura,rifiuto_non_recuperabile
20,Pentole e padelle,centro_di_raccolta
20,Pettini e spazzole,rifiuto_non_recuperabile
20,Phon,centro_di_raccolta
20,Piatti di carta,carta_e_cartone
20,Piatti in ceramica,rifiuto_non_recuperabile
20,Piatti in materiale compostabile,organico
20,Piatti in plastica dura riutilizzabili,rifiuto_non_recuperabile
20,Piatti in plastica usa e getta,imballaggi_plastica
20,Pile e batterie,centro_di_raccolta|pile
20,Pirofile,rifiuto_non_recuperabile
20,Piume di pollame,organico
20,Plastica espansa per imballaggio,centro_di_raccolta
20,Pneumatici senza cerchione,centro_di_raccolta
20,Polistirolo per alimenti e piccoli imballaggi,imballaggi_plastica
20,Polistirolo per grandi imballaggi,centro_di_raccolta
20,Poltrone,rifiuti_ingombranti|centro_di_raccolta
20,Porcellane,rifiuto_non_recuperabile
20,"Porte in legno, ferro o plastica",rifiuti_ingombranti|centro_di_raccolta
20,Posate in acciaio,vetro_e_imballaggi_metallo
20,Posate in plastica,rifiuto_non_recuperabile
20,Profilattici,rifiuto_non_recuperabile
20,"Quaderni, agende, block notes",carta_e_cartone
20,Radio,centro_di_raccolta
20,Rami da potature,centro_di_raccolta
20,Rasoi (non elettrici),rifiuto_non_recuperabile
20,Rasoi elettrici,centro_di_raccolta
20,Refill,centro_di_raccolta
